DATE TIME, WINDSPEED, DIR, GUSTS, AT, BARO, RELHUM, VIS
08/01/2018 01:00,,0,,,,,
08/01/2018 02:00,,0,,,,,
08/01/2018 03:00,,0,,,,,
08/01/2018 04:00,,0,,,,,
08/01/2018 05:00,,0,,,,,
08/01/2018 06:00,,0,,,,,
08/01/2018 07:00,,0,,,,,
08/01/2018 08:00,,0,,,,,
08/01/2018 09:00,,0,,,,,
08/01/2018 10:00,,0,,,,,
08/01/2018 11:00,,0,,,,,
08/01/2018 12:00,,0,,,,,
08/01/2018 13:00,,0,,,,,
08/01/2018 14:00,,0,,,,,
08/01/2018 15:00,2.92,8,3.89,,,,
08/01/2018 16:00,2.33,288,3.50,,,,
08/01/2018 17:00,4.47,295,5.25,,,,
08/01/2018 18:00,5.05,293,6.22,,,,
08/01/2018 19:00,4.47,309,5.25,,,,
08/01/2018 20:00,5.44,290,8.16,,,,
08/01/2018 21:00,5.64,305,7.39,,,,
08/01/2018 22:00,5.64,297,7.39,,,,
08/01/2018 23:00,5.83,315,6.61,,,,
08/02/2018 00:00,4.08,336,5.44,,,,
08/02/2018 01:00,3.89,291,4.86,,,,
08/02/2018 02:00,,0,,,,,
08/02/2018 03:00,,0,,,,,
08/02/2018 04:00,2.33,273,4.28,,,,
08/02/2018 05:00,3.50,293,4.86,,,,
08/02/2018 06:00,2.72,330,4.08,,,,
08/02/2018 07:00,2.53,346,4.47,,,,
08/02/2018 08:00,2.72,35,3.89,,,,
08/02/2018 09:00,2.92,55,4.67,,,,
08/02/2018 10:00,1.56,153,2.33,,,,
08/02/2018 11:00,1.75,109,2.14,,,,
08/02/2018 12:00,1.36,161,2.33,,,,
08/02/2018 13:00,1.36,147,1.94,,,,
08/02/2018 14:00,3.11,13,3.89,,,,
08/02/2018 15:00,4.08,290,5.83,,,,
08/02/2018 16:00,3.50,313,4.47,,,,
08/02/2018 17:00,4.47,304,5.44,,,,
08/02/2018 18:00,,0,,,,,
08/02/2018 19:00,,0,,,,,
08/02/2018 20:00,3.50,290,4.47,,,,
08/02/2018 21:00,3.11,294,4.67,,,,
08/02/2018 22:00,4.67,291,6.80,,,,
08/02/2018 23:00,4.08,303,4.86,,,,
08/03/2018 00:00,3.11,280,4.47,,,,
08/03/2018 01:00,3.11,279,4.67,,,,
08/03/2018 02:00,4.67,289,6.41,,,,
08/03/2018 03:00,,0,,,,,
08/03/2018 04:00,1.94,291,2.53,,,,
08/03/2018 05:00,1.17,9,2.53,,,,
08/03/2018 06:00,2.14,9,2.92,,,,
08/03/2018 07:00,1.36,149,1.94,,,,
08/03/2018 08:00,1.56,164,2.14,,,,
08/03/2018 09:00,0.19,158,2.33,,,,
08/03/2018 10:00,,0,,,,,
08/03/2018 11:00,2.72,30,3.11,,,,
08/03/2018 12:00,3.11,23,3.69,,,,
08/03/2018 13:00,3.30,31,4.28,,,,
08/03/2018 14:00,0.78,87,1.94,,,,
08/03/2018 15:00,1.17,7,1.94,,,,
08/03/2018 16:00,1.36,331,1.94,,,,
08/03/2018 17:00,3.69,289,4.28,,,,
08/03/2018 18:00,6.41,317,7.78,,,,
08/03/2018 19:00,4.86,321,6.22,,,,
08/03/2018 20:00,3.89,287,6.22,,,,
08/03/2018 21:00,4.28,301,5.44,,,,
08/03/2018 22:00,5.05,294,6.03,,,,
