DATE TIME, WINDSPEED, DIR, GUSTS, AT, BARO, RELHUM, VIS
08/01/2019 00:00,3.89,255,5.83,68.2,1014.1,,
08/01/2019 01:00,5.64,270,6.80,68.2,1013.8,,
08/01/2019 02:00,5.25,268,6.03,67.8,1013.9,,
08/01/2019 03:00,2.14,274,3.30,67.6,1014.0,,
08/01/2019 04:00,1.94,253,5.05,67.5,1014.6,,
08/01/2019 05:00,1.56,30,3.30,67.3,1015.0,,
08/01/2019 06:00,1.56,276,3.30,67.3,1015.1,,
08/01/2019 07:00,3.11,306,4.67,67.5,1014.9,,
08/01/2019 08:00,2.92,345,5.25,67.6,1014.8,,
08/01/2019 09:00,1.75,50,2.92,67.5,1014.5,,
08/01/2019 10:00,1.75,316,5.83,67.3,1014.5,,
08/01/2019 11:00,0.19,314,1.36,67.5,1014.6,,
08/01/2019 12:00,4.28,32,6.61,67.3,1014.5,,
08/01/2019 13:00,1.75,129,2.53,67.5,1014.9,,
08/01/2019 14:00,4.86,37,6.03,67.1,1015.4,,
08/01/2019 15:00,4.67,32,6.80,67.3,1015.7,,
08/01/2019 16:00,2.33,40,4.08,67.6,1015.8,,
08/01/2019 17:00,5.05,325,6.22,68.5,1015.9,,
08/01/2019 18:00,6.61,333,8.16,68.9,1015.7,,
08/01/2019 19:00,7.97,341,8.94,69.3,1015.5,,
08/01/2019 20:00,8.16,338,11.08,69.3,1015.2,,
08/01/2019 21:00,8.55,333,10.69,68.7,1014.7,,
08/01/2019 22:00,8.16,324,9.52,68.2,1014.1,,
08/01/2019 23:00,8.36,323,9.91,68.7,1013.7,,
08/02/2019 00:00,7.00,306,10.50,68.9,1013.4,,
08/02/2019 01:00,5.05,314,9.52,68.0,1013.2,,
08/02/2019 02:00,5.05,344,6.41,67.5,1013.2,,
08/02/2019 03:00,1.75,11,2.72,67.6,1013.4,,
08/02/2019 04:00,4.08,334,6.80,68.0,1013.9,,
08/02/2019 05:00,2.33,7,3.30,68.0,1014.1,,
08/02/2019 06:00,2.14,304,4.08,68.0,1014.1,,
08/02/2019 07:00,3.30,334,5.05,67.6,1014.1,,
08/02/2019 08:00,3.11,330,4.28,67.3,1013.9,,
08/02/2019 09:00,3.89,8,5.44,66.7,1013.5,,
08/02/2019 10:00,0.39,329,3.11,66.7,1013.4,,
08/02/2019 11:00,3.69,337,4.28,66.6,1013.4,,
08/02/2019 12:00,1.36,354,3.69,66.2,1013.5,,
08/02/2019 13:00,1.75,54,3.69,66.4,1013.8,,
08/02/2019 14:00,0.39,62,1.56,66.9,1014.0,,
08/02/2019 15:00,1.36,308,2.53,67.1,1014.5,,
08/02/2019 16:00,3.30,326,5.25,66.7,1014.5,,
08/02/2019 17:00,4.67,312,6.80,66.9,1014.6,,
08/02/2019 18:00,5.64,285,7.58,67.3,1014.6,,
08/02/2019 19:00,5.25,305,7.58,67.8,1014.6,,
08/02/2019 20:00,5.25,276,7.78,67.5,1014.6,,
08/02/2019 21:00,3.50,311,5.25,68.5,1014.2,,
08/02/2019 22:00,4.08,297,5.64,69.4,1013.7,,
08/02/2019 23:00,4.28,311,5.44,70.0,1013.1,,
08/03/2019 00:00,5.25,327,6.80,68.4,1012.5,,
08/03/2019 01:00,4.67,348,6.03,68.5,1012.1,,
